Recall Date,Recall Number,Recall Class,Product,Reason for Recall,Pounds Recalled
Jan 03 2011,001-2011,III,Frozen Chicken Mushroom Pies,Undeclared Substance,600
Jan 06 2011,002-2011,I,Frozen Meat and Poultry Tamale Products,Undeclared Allergen,"144,633"
Jan 10 2011,003-2011,II,Ground Beef Products,Other,"247,800"
Jan 11 2011,004-2011,III,"Breakfast Stackers Sausage, Egg & Cheese",Undeclared Substance,"101,629"
Jan 14 2011,005-2011,II,Beef Trim,Other,"2,234"
Jan 18 2011,006-2011,I,RTE Angus Beef Patties,Listeria monocytogenes,"7,875"
Jan 28 2011,007-2011,II,Frozen Veal Ravioli Products,Undeclared Allergen,654
Feb 05 2011,008-2011,I,Ground Beef Products,E.coli O157:H7,"3,170"
Feb 09 2011,009-2011,I,Barbecue Pork Products,Undeclared Allergen,"4,680"
Feb 16 2011,010-2011,II,Chili Products,Undeclared Allergen,Undetermined
Feb 23 2011,011-2011,III,Chicken and Noodle Products,Other,"1,050"
Feb 24 2011,012-2011,I,Meat and Poultry Products,Other,Undetermined
Feb 25 2011,013-2011,III,Buffalo Chicken Cheese Dip Products,Undeclared Substance,87
Feb 25 2011,014-2011,II,Whole Chicken Products,Other,"3,339"
Feb 28 2011,015-2011,I,Chicken and Mushroom Pie Products,Undeclared Allergen,775
Mar 01 2011,016-2011,I,Chicken and Pork Products,Listeria monocytogenes,"64,000"
Mar 08 2011,017-2011,I,Ground Beef Products,E.coli O157:H7,"14,158"
Mar 09 2011,018-2011,I,Bologna Products,Processing Defect,"2,997"
Mar 11 2011,019-2011,I,Red Meat Jerky Products,Undeclared Allergen,83
Mar 11 2011,020-2011,II,Honey Cured Turkey Sticks,Undeclared Allergen,"5,125"
Mar 14 2011,021-2011,II,Frozen Spaghetti and Meatball Entrees,Extraneous Material,"10,260"
Mar 15 2011,022-2011,III,Pork Loin Cutlet Fritter Products,Undeclared Substance,612
Mar 17 2011,023-2011,I,Southwest Style Chicken Products,Undeclared Allergen,"2,790"
Mar 21 2011,024-2011,III,Smoked Ham and Bacon Products,Undeclared Substance,"2,130"
Mar 22 2011,025-2011,I,Lebanon Bologna Products,E.coli O157:H7,"23,000"
Mar 29 2011,026-2011,II,Pizza Products,Undeclared Allergen,"131,000"
Mar 31 2011,027-2011,I,"Frozen, Cooked Italian Style Chicken Breast Fillet Products",Undeclared Allergen,"53,210"
Apr 01 2011,028-2011,I,"Frozen, Raw Turkey Burger Products",Salmonella,"54,960"
Apr 27 2011,029-2011,II,Teriyaki Flavored Kippered Turkey and Beef Products,Undeclared Allergen,87
Apr 29 2011,030-2011,II,Beef Jerky Products,Undeclared Allergen,772
Apr 30 2011,031-2011,I,Reduced Sodium Chicken Noodle Soup,Undeclared Allergen,"188,181"
May 04 2011,032-2011,I,Portobello Mushroom Flavored Pork Loins,Undeclared Allergen,"216,238"
May 04 2011,033-2011,I,RTE Fresh Salad Products,Salmonella,"22,000"
May 06 2011,034-2011,II,"Barbecue Beef, Pork and Chicken Products",Undeclared Allergen,"285,100"
May 06 2011,035-2011,II,Chicken Products,Undeclared Allergen,"18,648"
May 11 2011,036-2011,III,Kippered Beef,Undeclared Substance,252
May 13 2011,037-2011,I,RTE Deli Meat Products,Listeria monocytogenes,"15,900"
May 25 2011,R01-2011,I,Ground Beef Products,E.coli O157:H7,500
May 27 2011,038-2011,I,Asian Chicken Noodle Salad,Undeclared Allergen,770
May 31 2011,039-2011,I,Ground Beef Products,E.coli O157:H7,900
Jun 02 2011,040-2011,III,Chicken and Ham Salad Products,Undeclared Substance,"22,594"
Jun 10 2011,041-2011,II,Cooked Beef and Pork Meatball Products,Undeclared Allergen,"84,000"
Jun 15 2011,042-2011,I,Burgoo Soup,Undeclared Allergen,"5,160"
Jun 21 2011,043-2011,I,Raw and RTE Sausage Products,Other,"3,200"
Jun 22 2011,044-2011,I,Pork Egg Rolls,Undeclared Allergen,36
Jun 24 2011,045-2011,I,Boneless Serrano Ham Products,Listeria monocytogenes,"5,700"
Jul 05 2011,046-2011,I,"Boneless, Fully Cooked Ham Products",Listeria monocytogenes,"18,416"
Jul 06 2011,047-2011,I,Convenience Meals,Listeria monocytogenes,"1,550"
Jul 14 2011,048-2011,I,RTE Smoked Duck Breast Products,Salmonella,137
Jul 14 2011,049-2011,I,RTE Smoked Duck Breast Products,Salmonella,197
Jul 19 2011,050-2011,I,"RTE Chicken, Turkey, Beef and Pork Products",Listeria monocytogenes,"7,105"
Jul 20 2011,051-2011,II,Marinated Beef Products,Undeclared Allergen,"4,530"
Jul 20 2011,052-2011,I,RTE Chicken Products,Listeria monocytogenes,"18,412"
Jul 22 2011,053-2011,II,Various Beef Jerky Products,Undeclared Allergen,"6,200"
Jul 22 2011,054-2011,II,Chopped Beef Products,Other,"2,560"
Jul 22 2011,055-2011,I,Diced Bacon Products,Listeria monocytogenes,"2,900"
Jul 27 2011,056-2011,I,Beef Products,E.coli O157:H7,"228,596"
Jul 27 2011,057-2011,II,Frozen Boneless Beef Products,Residue,"6,240"
Jul 28 2011,058-2011,II,Teriyaki-Flavored Beef Jerky Products,Undeclared Allergen,33
Jul 28 2011,059-2011,I,Various Meat Products,Other,Undetermined
Aug 03 2011,060-2011,I,Fresh and Frozen Ground Turkey Products,Salmonella,"36,000,000"
Aug 05 2011,061-2011,III,Beef Patty Products,Extraneous Material,"10,668"
Aug 09 2011,062-2011,I,Ground Beef Products,E.coli O157:H7,"2,200"
Aug 12 2011,063-2011,I,Diced Bacon Products,Listeria monocytogenes,"380,000"
Aug 12 2011,064-2011,I,Ground Beef Products,E.coli O157:H7,"60,424"
Aug 15 2011,065-2011,I,Summer Sausage Products,Undeclared Allergen,24
