Recall Date,Recall Number,Recall Class,Product,Reason for Recall,Pounds Recalled
Aug 19 2011,066-2011,III,Ground Beef Products,Extraneous Material,"1,642"
Aug 26 2011,067-2011,I,Chicken Sausage Products,Undeclared Allergen,"28,782"
Aug 26 2011,068-2011,I,Chicken Caesar Salad Products,Undeclared Allergen,"52,191"
Aug 26 2011,069-2011,I,Chicken Caesar Salads,Undeclared Allergen,229
Aug 26 2011,070-2011,I,Chicken Caesar Salad Products,Undeclared Allergen,599
Sep 11 2011,071-2011,I,Fresh Ground Turkey Products,Salmonella,"185,000"
Sep 20 2011,072-2011,I,"Chicken, Beef, Veal and Pork Dumpling Products",Undeclared Allergen,"11,000"
Sep 21 2011,073-2011,I,Breaded Chicken Breast Products,Processing Defect,360
Sep 22 2011,074-2011,II,Tongue and Blood Sausage,Undeclared Allergen,72
Sep 23 2011,075-2011,I,Frozen Fine Ground Beef Products,E.coli O157:H7,"40,000"
Sep 26 2011,076-2011,I,Pureed Pork Products,Extraneous Material,"5,550"
Sep 27 2011,077-2011,I,Ground Beef Products,E.coli O157:H7,"131,300"
Sep 30 2011,078-2011,I,Beef Products,E.coli O157:H7,"80,000"
Oct 01 2011,079-2011,I,Salad Products,Salmonella,57
Oct 11 2011,080-2011,I,Ground Beef Products,E.coli O157:H7,"377,775"
Oct 12 2011,081-2011,II,Center Cut Steaks,Undeclared Allergen,875
Oct 13 2011,082-2011,II,Frozen Chicken and Steak Fajita Products,Other,"15,760"
Oct 14 2011,083-2011,I,"RTE, Seasoned Beef and Shredded Pork Products",Other,Undetermined
Oct 20 2011,084-2011,II,"Fully Cooked, Skinless Turkey Breast Products",Undeclared Allergen,"2,325"
Oct 25 2011,085-2011,II,Carne Guisada,Undeclared Allergen,"22,100"
Oct 26 2011,086-2011,I,RTE Meals,Other,"4,100"
Oct 27 2011,087-2011,III,Frozen Meat and Poultry Pie Products,Unapproved Substance,"8,888"
Oct 31 2011,088-2011,II,Chicken Pot Pie Empanadas,Extraneous Material,"11,390"
Nov 07 2011,089-2011,I,Beef Jerky Products,Salmonella,126
Nov 08 2011,090-2011,I,Broiled Chicken Liver Products,Salmonella,Undetermined
Nov 14 2011,091-2011,III,Veal Russian Brand Dumplings,Other,63
Nov 23 2011,092-2011,I,Stuffed Chicken Products,Undeclared Allergen,"1,080"
Nov 28 2011,093-2011,II,British Style Banger Sausages,Undeclared Allergen,"1,010"
Nov 29 2011,094-2011,I,Chicken Sausages,Undeclared Allergen,456
Dec 02 2011,095-2011,II,Frozen Pureed Chicken Products,Undeclared Allergen,500
Dec 08 2011,096-2011,II,Frozen Stuffed Pasta Products,Other,"161,000"
Dec 09 2011,097-2011,I,Cooked Chicken Breasts,Listeria monocytogenes,"4,140"
Dec 10 2011,098-2011,II,Chorizo Sausage Product,Undeclared Allergen,"2,290"
Dec 15 2011,099-2011,II,Meatloaf Entrées,Undeclared Allergen,130
Dec 15 2011,100-2011,I,Fresh Ground Beef Products,Salmonella,Undetermined
Dec 16 2011,101-2011,I,Ground Beef Products,E.coli O157:H7,"40,948"
Dec 30 2011,102-2011,I,Marinated Beef and Chicken Products,Undeclared Allergen,"7,500"
